START MODEL,/vol/project/2019/545/g1954503/oen19/LandmarkDetection/FetalUS/001/output/FetalUS001/
START CHECKPOINT,/vol/project/2019/545/g1954503/oen19/LandmarkDetection/FetalUS/001/output/FetalUS001/model-725000
ifind110-41,31.139217884352057,3.640054944640259
ifind113-46,28.346610600467613,5.172039983025263
ifind122-113,32.26524944496202,1.499999990065893
ifind129-160,19.926394159318516,3.0
ifind52-98,28.784893582410085,4.582575642928642
ifind62-72,36.36421842786137,2.8722813232690143
ifind65-61,65.9162087434957,3.0413812651491097
ifind70-23,20.120068573026064,9.669539802906858
ifind78-106,28.409690629168594,4.031128741074443
ifind81-1,33.491298350781676,4.06201920231798
ifind84-1,25.671492973175326,11.40175425099138
ifind87-40,26.372111401465116,2.5495097509516764
ifind92-55,52.14100001792924,3.391164991562634
iFIND114_IM_0001,15.998599478474446,3.937003842383439
iFIND00135_IM_0169,34.952670739431134,7.762087348130012
iFIND139_IM_0080,27.95113390462171,1.6583123951777
iFIND00144_IM_0062,28.18448919583882,2.29128784747792
iFIND00148_IM_0001,56.759475413982614,3.9051248036111605
iFIND68_IM_0072,15.35200020313916,21.083168642308014
iFIND95_IM_0001,47.6027628464484,9.313968005098578
ifind100-8,21.475024037249426,6.576473218982953
START CHECKPOINT,/vol/project/2019/545/g1954503/oen19/LandmarkDetection/FetalUS/001/output/FetalUS001/model-300000
ifind110-41,40.18342381692894,4.301162633521313
ifind113-46,27.946876426197868,2.1794494102362427
ifind122-113,39.04085273236744,1.5811387452652934
ifind129-160,22.128595501803414,5.220153254455275
ifind52-98,29.217004714553266,2.738612765761292
ifind62-72,33.10469858712437,2.7386127875258306
ifind65-61,29.57666533679254,3.2015621187164243
ifind70-23,22.171609280615158,8.0156097709407
ifind78-106,20.48212109273515,5.0990194083878935
ifind81-1,36.3011354599211,4.272001872658765
ifind84-1,21.5548690114016,11.672617529928752
ifind87-40,35.91899403846921,4.031128637571793
ifind92-55,32.42315946441466,6.103277807866851
iFIND114_IM_0001,56.48385487932635,3.937003842383439
iFIND00135_IM_0169,17.120004404337116,7.88986691902975
iFIND139_IM_0080,25.428958158999826,4.55521678957215
iFIND00144_IM_0062,19.294625889367822,3.0413812651491097
iFIND00148_IM_0001,60.234572368760915,6.284902523649759
iFIND68_IM_0072,-3.776729055990219,11.412712210513327
iFIND95_IM_0001,34.96970420974023,11.704699910719626
ifind100-8,28.59802897334829,6.819090848492928
START CHECKPOINT,/vol/project/2019/545/g1954503/oen19/LandmarkDetection/FetalUS/001/output/FetalUS001/model-800000
ifind110-41,49.77211903142952,4.769696007084728
ifind113-46,33.82143135303201,4.183300004436261
ifind122-113,38.04262855298803,1.8708286217019203
ifind129-160,29.83308350607454,2.7386127875258306
ifind52-98,42.14014557761004,2.8284270404524943
ifind62-72,17.260615070720462,3.24037034920393
ifind65-61,59.46897236489351,2.7386127875258306
ifind70-23,70.7971537401077,8.077747210701755
ifind78-106,29.27769241716016,4.716990310146074
ifind81-1,24.20998544758304,3.5355339059327378
ifind84-1,26.41238639986104,10.781929326423912
