START MODEL,/volumes/project/2019/545/g1954503/oen19/LandmarkDetection/FetalUS/001/output/FetalUS001/
START CHECKPOINT,/volumes/project/2019/545/g1954503/oen19/LandmarkDetection/FetalUS/001/output/FetalUS001/model-725000
ifind110-41,40.710805018943574,3.640054944640259
ifind113-46,-1.9740436085198612,8.746427840564266
ifind122-113,36.84355750179499,1.11803393543788
ifind129-160,21.926093928488662,3.5355339059327378
ifind52-98,27.53533375827051,4.582575642928642
START CHECKPOINT,/volumes/project/2019/545/g1954503/oen19/LandmarkDetection/FetalUS/001/output/FetalUS001/model-25000
ifind110-41,40.710805018943574,3.640054944640259
ifind113-46,-1.9740436085198612,8.746427840564266
ifind122-113,36.84355750179499,1.11803393543788
ifind129-160,21.926093928488662,3.5355339059327378
ifind52-98,27.53533375827051,4.582575642928642
START CHECKPOINT,/volumes/project/2019/545/g1954503/oen19/LandmarkDetection/FetalUS/001/output/FetalUS001/model-100000
ifind110-41,40.710805018943574,3.640054944640259
ifind113-46,-1.9740436085198612,8.746427840564266
ifind122-113,36.84355750179499,1.11803393543788
ifind129-160,21.926093928488662,3.5355339059327378
ifind52-98,27.53533375827051,4.582575642928642
